9004928,20200127,20200127,35,1,1,10,G
9004928,20200127,20200127,40,1,1,5,G
9004928,20200127,20200127,47,1,1,2,G
9004928,20200127,20200127,52,1,1,7,G
9004929,20200131,20200131,8,1,2,1,G
9004929,20200131,20200131,13,1,2,6,G
9004929,20200131,20200131,18,1,2,1,G
9004929,20200131,20200131,20,1,2,3,G
9004929,20200131,20200131,25,1,2,8,G
9004929,20200131,20200131,30,1,2,3,G
9004930,20200203,20200203,55,1,3,6,G
9004930,20200203,20200203,43,1,3,4,G
9004931,20200207,20200207,21,1,1,10,G
9004931,20200207,20200207,50,1,1,9,G
9004931,20200207,20200207,43,1,1,2,G
9004931,20200207,20200207,55,1,1,4,G
9004931,20200207,20200207,33,1,1,2,G
9004931,20200207,20200207,38,1,1,7,G
9004932,20200129,20200129,21,1,2,8,G
9004932,20200129,20200129,33,1,2,10,G
9004932,20200129,20200129,16,1,2,3,G
9004932,20200129,20200129,28,1,2,5,G
9004933,20200202,20200202,58,1,3,3,G
9004933,20200202,20200202,51,1,3,6,G
9004933,20200202,20200202,56,1,3,1,G
9004933,20200202,20200202,46,1,3,1,G
9004933,20200202,20200202,63,1,3,8,G
9004934,20200205,20200205,36,1,1,9,G
9004934,20200205,20200205,29,1,1,2,G
9004934,20200205,20200205,46,1,1,9,G
9004934,20200205,20200205,34,1,1,7,G
9004934,20200205,20200205,24,1,1,7,G
9004934,20200205,20200205,41,1,1,4,G
9004935,20200128,20200128,24,1,2,5,G
9004935,20200128,20200128,59,1,2,10,G
9004935,20200128,20200128,64,1,2,5,G
9004935,20200128,20200128,69,1,2,10,G
9004936,20200201,20200201,59,1,3,8,G
9004936,20200201,20200201,54,1,3,3,G
9004936,20200201,20200201,42,1,3,1,G
9004936,20200201,20200201,47,1,3,6,G
9004936,20200201,20200201,37,1,3,6,G
9004936,20200201,20200201,49,1,3,8,G
9004937,20200204,20200204,37,1,1,4,G
9004937,20200204,20200204,27,1,1,4,G
9004937,20200204,20200204,32,1,1,9,G
9004937,20200204,20200204,72,1,1,9,G
9004937,20200204,20200204,25,1,1,2,G
9004928,20200128,20200128,50,51,1,11,g
9004928,20200128,20200128,50,101,1,12,g
9004928,20200128,20200128,50,151,1,13,g
